QualifyingAreaName,TotalPopulation,Female,White_Male,White_Female,FreeColoredPopulation,FreeColored_Female,Slave_Male,FreePersons,FreePersons_White_Male,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Female,SlavePopulation_Female,DisabledWhite_DeafandDumb,InsaneandIdioticPersons_AtPublicCharge,PersonsEmployedinMining,PersonsEmployedinCommerce,PersonsEmployedinOceanNavigation,PersonsEmployedEngineersProfessional,CollegeUniversityStudents,PrimaryCommonSchoolStudents,Male,WhitePopulation,FreeColored_Male,SlavePopulation,Slave_Female,FreePersons_White,FreePersons_White_Female,FreePersons_ColoredPersons_Male,SlavePopulation_Male,DisabledWhite,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinAgriculture,PersonsEmployedinManufacturingTrade,PersonsEmployedinLandNavigation,PensionersofRevolutionaryWarorMilitaryService,AcademyGrammarSchoolStudents
"Jackson County, Arkansas",1540,722,662,596,6,2,152,1264,662,6,2,124,0,1,0,2,0,4,0,0,818,1258,4,276,124,1258,596,4,152,3,4,3,502,24,2,1,0
"Jefferson County, Arkansas",2566,1159,891,660,5,3,514,1556,891,5,3,496,0,0,0,0,0,0,0,0,1407,1551,2,1010,496,1551,660,2,514,0,0,0,527,0,0,0,0
"Johnson County, Arkansas",3433,1626,1520,1319,3,2,286,2842,1520,3,2,305,0,0,0,5,0,14,0,138,1807,2839,1,591,305,2839,1319,1,286,3,2,2,838,64,0,1,0
"Lafayette County, Arkansas",2200,992,346,209,1,0,861,556,346,1,0,783,0,0,0,0,0,0,0,0,1208,555,1,1644,783,555,209,1,861,0,0,0,926,0,0,0,0
"Lawrence County, Arkansas",2835,1373,1335,1227,6,3,124,2568,1335,6,3,143,0,0,0,0,0,7,0,115,1462,2562,3,267,143,2562,1227,3,124,1,3,3,787,0,0,1,0
"Madison County, Arkansas",2775,1327,1413,1279,0,0,35,2692,1413,0,0,48,1,0,0,4,0,36,0,53,1448,2692,0,83,48,2692,1279,0,35,6,3,3,823,7,0,3,0
"Marion County, Arkansas",1325,621,649,572,65,28,18,1286,649,65,28,21,0,0,0,0,0,0,0,0,704,1221,37,39,21,1221,572,37,18,0,0,0,351,4,0,1,0
"Mississippi County, Arkansas",1410,621,513,387,0,0,276,900,513,0,0,234,0,0,0,0,0,1,0,25,789,900,0,510,234,900,387,0,276,0,0,0,109,0,0,0,0
"Monroe County, Arkansas",936,422,437,349,2,1,76,788,437,2,1,72,1,2,0,0,0,0,0,33,514,786,1,148,72,786,349,1,76,2,2,0,236,0,0,0,0
"Phillips County, Arkansas",3547,1583,1474,1151,17,7,480,2642,1474,17,7,425,4,0,0,12,0,22,0,109,1964,2625,10,905,425,2625,1151,10,480,4,0,0,1054,73,24,0,0
"Pike County, Arkansas",969,451,457,403,0,0,61,860,457,0,0,48,0,0,0,3,0,0,0,0,518,860,0,109,48,860,403,0,61,0,0,0,306,2,0,1,0
"Poinsett County, Arkansas",1320,631,655,598,0,0,34,1253,655,0,0,33,0,2,0,3,0,1,0,76,689,1253,0,67,33,1253,598,0,34,0,3,1,334,12,5,0,0
"Pope County, Arkansas",2850,1329,1406,1220,9,3,109,2635,1406,9,3,106,1,0,0,6,0,7,0,78,1521,2626,6,215,106,2626,1220,6,109,3,2,2,848,23,0,1,0
"Pulaski County, Arkansas",5350,2233,2389,1572,105,52,675,4066,2389,105,52,609,1,0,0,3,1,18,0,48,3117,3961,53,1284,609,3961,1572,53,675,2,0,0,725,8,0,0,0
"Randolph County, Arkansas",2196,1043,1037,936,7,5,114,1980,1037,7,5,102,0,0,0,6,0,9,0,109,1153,1973,2,216,102,1973,936,2,114,1,0,0,703,16,0,1,0
"St Francis County, Arkansas",2499,1171,1145,987,2,0,181,2134,1145,2,0,184,0,1,0,8,1,9,0,70,1328,2132,2,365,184,2132,987,2,181,1,2,1,856,33,0,0,0
"Saline County, Arkansas",2061,966,874,788,0,0,221,1662,874,0,0,178,0,0,0,3,0,3,0,36,1095,1662,0,399,178,1662,788,0,221,0,0,0,798,0,0,0,0
"Scott County, Arkansas",1694,756,866,676,21,9,60,1563,866,21,9,71,0,0,NA,NA,NA,NA,0,103,938,1542,12,131,71,1542,676,12,60,0,0,0,NA,NA,NA,0,0
"Searcy County, Arkansas",936,462,474,459,0,0,0,933,474,0,0,3,0,0,0,0,0,0,0,0,474,933,0,3,3,933,459,0,0,1,0,0,249,248,0,0,0
"Sevier County, Arkansas",2810,1352,1098,978,9,5,356,2085,1098,9,5,369,1,0,4,12,0,5,0,168,1458,2076,4,725,369,2076,978,4,356,3,4,4,945,29,2,1,0
"Union County, Arkansas",2889,1391,1059,922,2,1,438,1983,1059,2,1,468,5,0,0,8,0,5,0,64,1498,1981,1,906,468,1981,922,1,438,7,2,2,1062,5,0,0,0
"Van Buren County, Arkansas",1518,677,814,645,0,0,27,1459,814,0,0,32,0,0,0,0,0,1,0,95,841,1459,0,59,32,1459,645,0,27,3,3,3,337,9,0,0,0
"Washington County, Arkansas",7148,3326,3387,2859,19,11,427,6265,3387,19,11,456,12,1,0,55,0,23,0,358,3822,6246,8,883,456,6246,2859,8,427,22,5,4,2070,206,0,8,75
"White County, Arkansas",929,419,467,374,0,0,43,841,467,0,0,45,0,0,NA,NA,NA,NA,0,0,510,841,0,88,45,841,374,0,43,0,0,0,NA,NA,NA,0,0
"Fairfield County, Connecticut",49917,25462,23788,24792,1335,669,1,49915,23788,1335,669,1,13,10,0,420,219,227,0,8285,24455,48580,666,2,1,48580,24792,666,1,65,39,29,6446,4167,61,282,867
"Hartford County, Connecticut",55629,28485,26560,27787,1282,698,0,55629,26560,1282,698,0,176,20,12,771,80,329,2,10983,27144,54347,584,0,0,54347,27787,584,0,346,143,123,8128,5159,63,263,1043
"Litchfield County, Connecticut",40448,20334,19593,19817,1037,516,0,40447,19593,1037,516,1,18,22,46,191,1,211,0,9667,20114,39410,521,1,1,39410,19817,521,0,121,91,69,8376,2969,0,222,480
"Middlesex County, Connecticut",24879,12735,11941,12498,439,236,0,24878,11941,439,236,1,11,9,81,246,260,120,1,5225,12144,24439,203,1,1,24439,12498,203,0,58,42,33,3094,1898,119,115,328
"New Haven County, Connecticut",48582,24840,23062,24073,1439,765,6,48574,23062,1439,765,2,31,18,1,781,462,393,1,8160,23742,47135,674,8,2,47135,24073,674,6,107,69,51,7376,4883,118,237,1030
"New London County, Connecticut",44463,22259,21389,21334,1740,925,0,44463,21389,1740,925,0,28,41,0,183,1666,197,0,10790,22204,42723,815,0,0,42723,21334,815,0,119,77,36,11585,3590,70,241,747
"Tolland County, Connecticut",17980,9290,8555,9186,239,104,0,17980,8555,239,104,0,14,5,11,83,11,83,0,4880,8690,17741,135,0,0,17741,9186,135,0,56,36,31,5520,1688,0,132,53
"Windham County, Connecticut",28080,14374,13412,14069,594,301,1,28075,13412,594,301,4,18,13,0,68,1,137,0,7749,13706,27481,293,5,4,27481,14069,293,1,78,45,32,6430,3578,0,174,317
"Kent County, Delaware",19872,9803,6885,6733,5827,2875,232,19445,6885,5827,2875,195,12,11,0,232,4,33,0,2997,10069,13618,2952,427,195,13618,6733,2952,232,35,23,12,4604,659,82,1,65
"New Castle County, Delaware",33120,16549,12797,13009,6773,3297,298,32579,12797,6773,3297,243,10,15,0,83,185,120,1,2618,16571,25806,3476,541,243,25806,13009,3476,298,37,36,21,5119,2805,57,3,479
"Sussex County, Delaware",25093,12477,9577,9560,4319,2121,841,23456,9577,4319,2121,796,23,3,5,152,212,46,0,1309,12616,19137,2198,1637,796,19137,9560,2198,841,40,21,18,6292,596,96,0,220
"Alexandria County, District of Columbia",8459,4603,2748,3010,1627,963,444,7385,2748,1627,963,630,2,0,0,136,63,51,0,224,3856,5758,664,1074,630,5758,3010,664,444,4,3,3,15,933,40,6,296
"Georgetown County, District of Columbia",7312,4106,2290,2834,1403,814,327,6527,2290,1403,814,458,0,1,0,0,16,42,0,435,3206,5124,589,785,458,5124,2834,589,327,3,1,0,0,426,9,0,484
"Rural Alexandria County County, District of Columbia",1508,735,490,483,235,125,173,1208,490,235,125,127,0,2,0,1,2,2,0,0,773,973,110,300,127,973,483,110,173,9,11,9,259,19,0,0,0
"Rural Washington county County, District of Columbia",3069,1365,1098,861,288,147,465,2247,1098,288,147,357,2,0,0,0,0,25,2,25,1704,1959,141,822,357,1959,861,141,465,2,0,0,84,14,6,2,0
"Washington City County, District of Columbia",23364,12570,8196,8647,4808,2859,649,21651,8196,4808,2859,1064,4,1,0,103,45,83,0,167,10794,16843,1949,1713,1064,16843,8647,1949,649,10,6,5,26,886,25,7,609
